Timestamp,Tension,Corriente,totalizado,
2025-06-25T23:07:42.691660,307,17,-162,5526
2025-06-25T23:07:44.134941,302,17,-145,5436
2025-06-25T23:07:45.577117,304,17,-128,5472
2025-06-25T23:07:47.020591,304,-71,-199,5472
2025-06-25T23:07:48.463988,305,-71,-270,5490
2025-06-25T23:07:49.906384,307,-71,-341,5526
2025-06-25T23:07:51.349776,307,-72,-413,5526
2025-06-25T23:07:52.792162,305,-73,-486,5490
2025-06-25T23:07:54.235662,308,-72,-558,5544
2025-06-25T23:07:55.678070,310,-72,-630,5580
2025-06-25T23:07:57.121595,309,-73,-703,5562
2025-06-25T23:07:58.564100,308,-73,-776,5544
2025-06-25T23:08:00.007461,307,-72,-848,5526
2025-06-25T23:08:01.450059,305,-72,-920,5490
2025-06-25T23:08:02.892588,310,-73,-993,5580
2025-06-25T23:08:04.337193,305,-73,-1066,5490
2025-06-25T23:08:05.779710,309,-73,-1139,5562
2025-06-25T23:08:07.223198,306,-72,-1211,5508
2025-06-25T23:08:08.665830,306,-73,-1284,5508
2025-06-25T23:08:10.109341,307,-73,-1357,5526
2025-06-25T23:08:11.551912,308,-73,-1430,5544
2025-06-25T23:08:12.995490,307,-73,-1503,5526
2025-06-25T23:08:14.438051,311,-73,-1576,5598
2025-06-25T23:08:15.881567,306,-73,-1649,5508
2025-06-25T23:08:17.324111,308,-73,-1722,5544
2025-06-25T23:08:18.766703,311,-74,-1796,5598
2025-06-25T23:08:20.210379,310,-74,-1870,5580
2025-06-25T23:08:21.652898,308,-74,-1944,5544
2025-06-25T23:08:23.096655,311,-73,-2017,5598
2025-06-25T23:08:24.539140,306,-74,-2091,5508
2025-06-25T23:08:25.982637,307,-74,-2165,5526
2025-06-25T23:08:27.425236,309,-74,-2239,5562
2025-06-25T23:08:28.868910,308,-75,-2314,5544
2025-06-25T23:08:30.311584,306,-73,-2387,5508
2025-06-25T23:08:31.755006,308,-74,-2461,5544
2025-06-25T23:08:33.197590,307,-74,-2535,5526
2025-06-25T23:08:34.641267,309,-74,-2609,5562
2025-06-25T23:08:36.083767,307,-74,-2683,5526
2025-06-25T23:08:37.526446,310,-74,-2757,5580
2025-06-25T23:08:38.970121,307,-75,-2832,5526
2025-06-25T23:08:40.412725,311,-75,-2907,5598
2025-06-25T23:08:41.856274,308,-75,-2982,5544
2025-06-25T23:08:43.298732,310,-74,-3056,5580
2025-06-25T23:08:44.742504,306,-74,-3130,5508
