Timestamp,Tension,Corriente,totalizado
2025-06-29T19:53:05.402513,6948.0,-16.0,-177
2025-06-29T19:53:06.551258,6912.0,-16.0,-193
2025-06-29T19:53:07.700133,6948.0,-16.0,-209
2025-06-29T19:53:08.848825,6966.0,-16.0,-225
2025-06-29T19:53:09.997577,6894.0,-16.0,-241
2025-06-29T19:53:11.149501,6822.0,-4736.0,-4977
2025-06-29T19:53:12.303386,6822.0,-5372.0,-10349
2025-06-29T19:53:13.456147,6840.0,-5375.0,-15724
2025-06-29T19:53:14.608904,6804.0,-5382.0,-21106
2025-06-29T19:53:15.761777,6858.0,-5397.0,-26503
2025-06-29T19:53:16.914576,6804.0,-5364.0,-31867
2025-06-29T19:53:18.067384,6840.0,-5386.0,-37253
2025-06-29T19:53:19.220203,6786.0,-5394.0,-42647
2025-06-29T19:53:20.373080,6876.0,-5378.0,-48025
2025-06-29T19:53:21.525921,6804.0,-5379.0,-53404
2025-06-29T19:53:22.678721,6840.0,-5378.0,-58782
2025-06-29T19:53:23.831520,6786.0,-5392.0,-64174
2025-06-29T19:53:24.984303,6858.0,-5381.0,-69555
2025-06-29T19:53:26.137200,6822.0,-5377.0,-74932
2025-06-29T19:53:27.289958,6858.0,-5398.0,-80330
2025-06-29T19:53:28.442821,6786.0,-5409.0,-85739
2025-06-29T19:53:29.595748,6858.0,-5387.0,-91126
2025-06-29T19:53:30.748533,6822.0,-5390.0,-96516
2025-06-29T19:53:31.902389,6804.0,-5396.0,-101912
2025-06-29T19:53:33.059102,6750.0,-5386.0,-107298
2025-06-29T19:53:34.211916,6840.0,-5411.0,-112709
2025-06-29T19:53:35.364927,6786.0,-5403.0,-118112
2025-06-29T19:53:36.517745,6858.0,-5396.0,-123508
2025-06-29T19:53:37.670546,6804.0,-5392.0,-128900
2025-06-29T19:53:38.823460,6786.0,-5396.0,-134296
2025-06-29T19:53:39.980190,6822.0,-5412.0,-139708
2025-06-29T19:53:41.132962,6822.0,-5404.0,-145112
2025-06-29T19:53:42.285824,6786.0,-5400.0,-150512
2025-06-29T19:53:43.438665,6786.0,-5400.0,-155912
2025-06-29T19:53:44.591485,6786.0,-5389.0,-161301
2025-06-29T19:53:45.744316,6786.0,-5405.0,-166706
2025-06-29T19:53:46.901331,6786.0,-5401.0,-172107
2025-06-29T19:53:48.057998,6822.0,-5398.0,-177505
2025-06-29T19:53:49.211041,6804.0,-5413.0,-182918
2025-06-29T19:53:50.363833,6786.0,-5413.0,-188331
