Timestamp,Tension,Corriente,totalizado
2025-06-29T14:44:13.920045,8190.0,-16.0,-49479
2025-06-29T14:44:15.072785,8118.0,-16.0,-49495
2025-06-29T14:44:16.225630,8190.0,-16.0,-49511
2025-06-29T14:44:17.380516,8082.0,-6109.0,-55620
2025-06-29T14:44:18.533421,8118.0,-6126.0,-61746
2025-06-29T14:44:19.686218,8118.0,-6117.0,-67863
2025-06-29T14:44:20.839074,8100.0,-6122.0,-73985
2025-06-29T14:44:21.991948,8064.0,-6120.0,-80105
2025-06-29T14:44:23.144786,8100.0,-6123.0,-86228
2025-06-29T14:44:24.297499,8046.0,-5900.0,-92128
2025-06-29T14:44:25.450494,8100.0,-4856.0,-96984
2025-06-29T14:44:26.604344,8082.0,-5015.0,-101999
2025-06-29T14:44:27.761311,8046.0,-6828.0,-108827
2025-06-29T14:44:28.914086,8064.0,-6871.0,-115698
2025-06-29T14:44:30.066932,8046.0,-6809.0,-122507
2025-06-29T14:44:31.219737,8028.0,-6774.0,-129281
2025-06-29T14:44:32.372609,8100.0,-6242.0,-135523
2025-06-29T14:44:33.529483,8028.0,-6009.0,-141532
2025-06-29T14:44:34.686296,8100.0,-6000.0,-147532
2025-06-29T14:44:35.839144,8010.0,-5957.0,-153489
2025-06-29T14:44:36.992084,8100.0,-5997.0,-159486
2025-06-29T14:44:38.144718,8118.0,-5998.0,-165484
2025-06-29T14:44:39.297584,8028.0,-5993.0,-171477
2025-06-29T14:44:40.450879,8082.0,-5995.0,-177472
2025-06-29T14:44:41.607400,8100.0,-5997.0,-183469
2025-06-29T14:44:42.760189,8100.0,-5986.0,-189455
2025-06-29T14:44:43.913164,8100.0,-5997.0,-195452
2025-06-29T14:44:45.065949,8082.0,-5966.0,-201418
2025-06-29T14:44:46.218713,8100.0,-5991.0,-207409
2025-06-29T14:44:47.371595,8064.0,-5961.0,-213370
2025-06-29T14:44:48.531523,8046.0,-5958.0,-219328
2025-06-29T14:44:49.685383,8064.0,-5971.0,-225299
2025-06-29T14:44:50.838270,8082.0,-5984.0,-231283
2025-06-29T14:44:51.991047,8082.0,-6030.0,-237313
2025-06-29T14:44:53.143986,8100.0,-6014.0,-243327
2025-06-29T14:44:54.296867,8064.0,-6021.0,-249348
2025-06-29T14:44:55.453710,8082.0,-5686.0,-255034
2025-06-29T14:44:56.610496,8046.0,-5522.0,-260556
2025-06-29T14:44:57.763322,8100.0,-5515.0,-266071
2025-06-29T14:44:58.916152,8082.0,-5507.0,-271578
2025-06-29T14:45:00.068879,8136.0,-5445.0,-277023
2025-06-29T14:45:01.221838,8046.0,-5198.0,-282221
2025-06-29T14:45:02.378775,8100.0,-5174.0,-287395
2025-06-29T14:45:03.535661,8046.0,-5189.0,-292584
2025-06-29T14:45:04.688510,8064.0,-5188.0,-297772
2025-06-29T14:45:05.841374,8046.0,-5208.0,-302980
2025-06-29T14:45:06.994173,8100.0,-5201.0,-308181
2025-06-29T14:45:08.147121,8082.0,-5193.0,-313374
2025-06-29T14:45:09.303929,8028.0,-5202.0,-318576
2025-06-29T14:45:10.460724,8100.0,-5192.0,-323768
2025-06-29T14:45:11.613602,8046.0,-5211.0,-328979
2025-06-29T14:45:12.766406,8082.0,-5211.0,-334190
2025-06-29T14:45:13.919356,8028.0,-5201.0,-339391
2025-06-29T14:45:15.072118,8082.0,-5195.0,-344586
2025-06-29T14:45:16.224965,8118.0,-5197.0,-349783
2025-06-29T14:45:17.381845,8100.0,-5195.0,-354978
2025-06-29T14:45:18.534692,8082.0,-5200.0,-360178
2025-06-29T14:45:19.687552,8100.0,-5233.0,-365411
2025-06-29T14:45:20.840382,8100.0,-5205.0,-370616
2025-06-29T14:45:21.993216,8046.0,-5208.0,-375824
2025-06-29T14:45:23.146066,8046.0,-5189.0,-381013
2025-06-29T14:45:24.302849,8100.0,-5192.0,-386205
2025-06-29T14:45:25.459888,8046.0,-5202.0,-391407
2025-06-29T14:45:26.612741,7956.0,-5200.0,-396607
2025-06-29T14:45:27.765666,8046.0,-5214.0,-401821
2025-06-29T14:45:28.918381,8100.0,-5220.0,-407041
2025-06-29T14:45:30.071296,8064.0,-5195.0,-412236
2025-06-29T14:45:31.228020,7992.0,-5203.0,-417439
2025-06-29T14:45:32.384939,8064.0,-5197.0,-422636
2025-06-29T14:45:33.537659,7974.0,-5205.0,-427841
2025-06-29T14:45:34.690565,8100.0,-5200.0,-433041
2025-06-29T14:45:35.843490,8028.0,-5200.0,-438241
2025-06-29T14:45:36.996314,8046.0,-5213.0,-443454
2025-06-29T14:45:38.153205,8046.0,-5193.0,-448647
2025-06-29T14:45:39.310093,8064.0,-5195.0,-453842
2025-06-29T14:45:40.462939,8082.0,-5215.0,-459057
2025-06-29T14:45:41.615810,8100.0,-5190.0,-464247
2025-06-29T14:45:42.768606,8028.0,-5198.0,-469445
2025-06-29T14:45:43.921463,7992.0,-5196.0,-474641
2025-06-29T14:45:45.079048,8028.0,-5197.0,-479838
2025-06-29T14:45:46.235207,8082.0,-5202.0,-485040
2025-06-29T14:45:47.388062,8064.0,-5180.0,-490220
2025-06-29T14:45:48.540860,8082.0,-5176.0,-495396
2025-06-29T14:45:49.693737,8046.0,-5209.0,-500605
2025-06-29T14:45:50.846599,8100.0,-5181.0,-505786
2025-06-29T14:45:51.999356,8046.0,-5177.0,-510963
2025-06-29T14:45:53.156277,8082.0,-5192.0,-516155
2025-06-29T14:45:54.308977,8046.0,-5173.0,-521328
2025-06-29T14:45:55.461967,8082.0,-5176.0,-526504
2025-06-29T14:45:56.614680,8082.0,-5191.0,-531695
2025-06-29T14:45:57.767572,8082.0,-5184.0,-536879
2025-06-29T14:45:58.920478,8028.0,-5186.0,-542065
2025-06-29T14:46:00.077321,8046.0,-5179.0,-547244
2025-06-29T14:46:01.234293,8100.0,-5170.0,-552414
2025-06-29T14:46:02.387035,8100.0,-5197.0,-557611
2025-06-29T14:46:03.539856,8082.0,-5198.0,-562809
2025-06-29T14:46:04.692797,8046.0,-5199.0,-568008
2025-06-29T14:46:05.845960,8064.0,-5208.0,-573216
2025-06-29T14:46:07.002470,8046.0,-5206.0,-578422
2025-06-29T14:46:08.159403,8028.0,-5207.0,-583629
2025-06-29T14:46:09.312150,8046.0,-5200.0,-588829
2025-06-29T14:46:10.465055,8064.0,-5208.0,-594037
2025-06-29T14:46:11.617867,8046.0,-5175.0,-599212
2025-06-29T14:46:12.770802,8046.0,-5193.0,-604405
2025-06-29T14:46:13.927686,8064.0,-5170.0,-609575
2025-06-29T14:46:15.084482,8100.0,-5193.0,-614768
2025-06-29T14:46:16.237332,8046.0,-5214.0,-619982
2025-06-29T14:46:17.390253,8082.0,-5200.0,-625182
2025-06-29T14:46:18.543069,8100.0,-5210.0,-630392
2025-06-29T14:46:19.695871,8028.0,-5208.0,-635600
2025-06-29T14:46:20.852583,8028.0,-5197.0,-640797
2025-06-29T14:46:22.009531,8028.0,-5200.0,-645997
2025-06-29T14:46:23.162393,8046.0,-5181.0,-651178
2025-06-29T14:46:24.315188,8028.0,-5198.0,-656376
2025-06-29T14:46:25.468093,8046.0,-5200.0,-661576
2025-06-29T14:46:26.620823,8010.0,-5173.0,-666749
2025-06-29T14:46:27.773761,8100.0,-5173.0,-671922
2025-06-29T14:46:28.930671,8028.0,-5177.0,-677099
2025-06-29T14:46:30.083525,8046.0,-5203.0,-682302
2025-06-29T14:46:31.236423,8046.0,-5199.0,-687501
2025-06-29T14:46:32.389165,8028.0,-5191.0,-692692
2025-06-29T14:46:33.541936,8082.0,-5192.0,-697884
2025-06-29T14:46:34.694812,8028.0,-5212.0,-703096
2025-06-29T14:46:35.851827,8064.0,-5200.0,-708296
2025-06-29T14:46:37.008600,8028.0,-5170.0,-713466
2025-06-29T14:46:38.161587,8010.0,-5211.0,-718677
2025-06-29T14:46:39.314372,8046.0,-5195.0,-723872
2025-06-29T14:46:40.467236,8028.0,-5179.0,-729051
2025-06-29T14:46:41.619981,8064.0,-5194.0,-734245
2025-06-29T14:46:42.776848,8010.0,-5178.0,-739423
2025-06-29T14:46:43.933807,8082.0,-5176.0,-744599
2025-06-29T14:46:45.086503,8046.0,-5206.0,-749805
2025-06-29T14:46:46.239373,8064.0,-5191.0,-754996
2025-06-29T14:46:47.392313,8100.0,-5184.0,-760180
2025-06-29T14:46:48.545124,8082.0,-5192.0,-765372
2025-06-29T14:46:49.701979,8046.0,-5181.0,-770553
2025-06-29T14:46:50.858881,8028.0,-5175.0,-775728
2025-06-29T14:46:52.011798,8010.0,-5184.0,-780912
2025-06-29T14:46:53.166927,8064.0,-5181.0,-786093
2025-06-29T14:46:54.317513,8046.0,-5176.0,-791269
2025-06-29T14:46:55.470242,8028.0,-5178.0,-796447
2025-06-29T14:46:56.627114,8028.0,-5174.0,-801621
2025-06-29T14:46:57.784001,8046.0,-5181.0,-806802
2025-06-29T14:46:58.936896,8082.0,-5179.0,-811981
2025-06-29T14:47:00.089643,8028.0,-5201.0,-817182
2025-06-29T14:47:01.242544,7974.0,-5190.0,-822372
2025-06-29T14:47:02.395503,8064.0,-5172.0,-827544
2025-06-29T14:47:03.548235,8028.0,-5191.0,-832735
2025-06-29T14:47:04.705042,8082.0,-5191.0,-837926
2025-06-29T14:47:05.857959,8028.0,-5195.0,-843121
2025-06-29T14:47:07.010788,8046.0,-5169.0,-848290
2025-06-29T14:47:08.163755,8046.0,-5184.0,-853474
2025-06-29T14:47:09.316499,8046.0,-5189.0,-858663
2025-06-29T14:47:10.469227,8082.0,-5169.0,-863832
2025-06-29T14:47:11.626236,8046.0,-5172.0,-869004
2025-06-29T14:47:12.783112,8064.0,-5162.0,-874166
2025-06-29T14:47:13.935848,8046.0,-5171.0,-879337
2025-06-29T14:47:15.088648,8064.0,-5176.0,-884513
2025-06-29T14:47:16.241601,8046.0,-5175.0,-889688
2025-06-29T14:47:17.394549,7992.0,-5171.0,-894859
2025-06-29T14:47:18.551376,8082.0,-5165.0,-900024
2025-06-29T14:47:19.708173,8064.0,-5169.0,-905193
2025-06-29T14:47:20.860982,8082.0,-5178.0,-910371
2025-06-29T14:47:22.013922,7992.0,-5174.0,-915545
2025-06-29T14:47:23.166631,8010.0,-5160.0,-920705
2025-06-29T14:47:24.319536,8046.0,-5168.0,-925873
2025-06-29T14:47:25.476472,7992.0,-5162.0,-931035
2025-06-29T14:47:26.633327,7992.0,-5157.0,-936192
2025-06-29T14:47:27.786157,8082.0,-5176.0,-941368
